Index,Time,((Motor_shooterMotorLeft).encoder).speed,((Shoot_Control).shoot_speed).referee_bullet_speed[0],((Shoot_Control).shoot_left).fdb,((Shoot_Control).shoot_right).fdb,((Motor_shooterMotorRight).encoder).speed,shoot_diff_tick
459,0.459089,0,29.6499996,0,0,0,47
460,0.460091,0,29.6499996,0,0,0,47
461,0.461089,0,29.6499996,0,0,0,47
462,0.462091,0,29.6499996,0,0,0,47
463,0.463090,0,29.6499996,0,0,0,47
464,0.464092,0,29.6499996,0,0,0,47
465,0.465090,0,29.6499996,0,0,0,47
466,0.466092,0,29.6499996,0,0,0,47
467,0.467100,0,29.6499996,0,0,0,47
468,0.468090,0,29.6499996,0,0,0,47
469,0.469086,0,29.6499996,0,0,0,47
470,0.470093,0,29.6499996,0,0,0,47
471,0.471086,0,29.6499996,0,0,0,47
472,0.472085,0,29.6499996,0,0,0,47
473,0.473087,0,29.6499996,0,0,0,47
474,0.474085,0,29.6499996,0,0,0,47
475,0.475087,0,29.6499996,0,0,0,47
476,0.476086,0,29.6499996,0,0,0,47
477,0.477088,0,29.6499996,0,0,0,47
478,0.478100,0,29.6499996,0,0,0,47
479,0.479093,0,29.6499996,0,0,0,47
480,0.480086,0,29.6499996,0,0,0,47
481,0.481085,0,29.6499996,0,0,0,47
482,0.482086,0,29.6499996,0,0,0,47
483,0.483085,0,29.6499996,0,0,0,47
484,0.484087,0,29.6499996,0,0,0,47
485,0.485085,0,29.6499996,0,0,0,47
486,0.486087,0,29.6499996,0,0,0,47
487,0.487086,0,29.6499996,0,0,0,47
488,0.488087,0,29.6499996,0,0,0,47
489,0.489204,0,29.6499996,0,0,0,47
490,0.490085,0,29.6499996,0,0,0,47
491,0.491087,0,29.6499996,0,0,0,47
492,0.492101,0,29.6499996,0,0,0,47
493,0.493090,0,29.6499996,0,0,0,47
494,0.494092,0,29.6499996,0,0,0,47
495,0.495090,0,29.6499996,0,0,0,47
496,0.496091,0,29.6499996,0,0,0,47
497,0.497089,0,29.6499996,0,0,0,47
498,0.498090,0,29.6499996,0,0,0,47
499,0.499091,0,29.6499996,0,0,0,47
500,0.500108,0,29.6499996,0,0,0,47
501,0.501106,0,29.6499996,0,0,0,47
502,0.502086,0,29.6499996,0,0,0,47
503,0.503088,0,29.6499996,0,0,0,47
504,0.504086,0,29.6499996,0,0,0,47
505,0.505087,0,29.6499996,0,0,0,47
506,0.506086,0,29.6499996,0,0,0,47
507,0.507087,0,29.6499996,0,0,0,47
508,0.508085,0,29.6499996,0,0,0,47
509,0.509089,0,29.6499996,0,0,0,47
510,0.510087,0.00930285081,29.6499996,0.00930285081,0,0,47
511,0.511103,0,29.6499996,0,0,0,47
512,0.512092,0,29.6499996,0,0,0,47
513,0.513085,0,29.6499996,0,0,0,47
514,0.514092,0,29.6499996,0,0,0,47
515,0.515093,0,29.6499996,0,0,0,47
516,0.516091,0,29.6499996,0,0,0,47
517,0.517093,0,29.6499996,0,0,0,47
518,0.518091,0,29.6499996,0,0,0,47
519,0.519086,0,29.6499996,0,0,0,47
520,0.520093,0,29.6499996,0,0,0,47
521,0.521085,0,29.6499996,0,0,0,47
522,0.522101,0,29.6499996,0,0,0,47
523,0.523090,0,29.6499996,0,0,0,47
524,0.524093,0,29.6499996,0,0,0,47
525,0.525091,0,29.6499996,0,0,0,47
526,0.526093,0,29.6499996,0,0,0,47
527,0.527092,0,29.6499996,0,0,0,47
528,0.528093,0,29.6499996,0,0,0,47
529,0.529086,0,29.6499996,0,0,0,47
530,0.530088,0,29.6499996,0,0,0,47
531,0.531086,0,29.6499996,0,0,0,47
532,0.532088,-0.00915518589,29.6499996,-0.00915518589,0,0,47
533,0.533135,0,29.6499996,0,0,0,47
534,0.534089,0,29.6499996,0,0,0,47
535,0.535091,0,29.6499996,0,0,0,47
536,0.536093,0,29.6499996,0,0,0,47
537,0.537091,0,29.6499996,0,0,0,47
538,0.538093,0,29.6499996,0,0,0,47
539,0.539086,0,29.6499996,0,0,0,47
540,0.540088,0,29.6499996,0,0,0,47
541,0.541086,0,29.6499996,0,0,0,47
542,0.542088,0,29.6499996,0,0,0,47
543,0.543087,0,29.6499996,0,0,0,47
544,0.544163,0,29.6499996,0,0,0,47
545,0.545114,0,29.6499996,0,0,0,47
546,0.546102,0,29.6499996,0,0,0,47
547,0.547092,0,29.6499996,0,0,0,47
548,0.548085,0,29.6499996,0,0,0,47
549,0.549087,0.0088057518,29.6499996,0.0088057518,0,0,47
550,0.550089,0,29.6499996,0,0,0,47
551,0.551087,0,29.6499996,0,0,0,47
552,0.552089,0,29.6499996,0,0,0,47
553,0.553087,0,29.6499996,0,0,0,47
554,0.554088,0,29.6499996,0,0,0,47
555,0.555104,0,29.6499996,0,0,0,47
556,0.556093,0,29.6499996,0,0,0,47
557,0.557086,0,29.6499996,0,0,0,47
558,0.558092,0,29.6499996,0,0,0,47
559,0.559088,0,29.6499996,0,0,0,47
560,0.560086,0,29.6499996,0,0,0,47
561,0.561088,0,29.6499996,0,0,0,47
562,0.562086,-0.00915518589,29.6499996,-0.00915518589,0,0,47
563,0.563087,0,29.6499996,0,0,0,47
564,0.564085,0,29.6499996,0,0,0,47
565,0.565087,0,29.6499996,0,0,0,47
566,0.566085,0,29.6499996,0,0,0,47
567,0.567103,0,29.6499996,0,0,0,47
568,0.568092,0,29.6499996,0,0,0,47
569,0.569088,0,29.6499996,0,0,0,47
570,0.570086,0,29.6499996,0,0,0,47
571,0.571087,0,29.6499996,0,0,0,47
572,0.572085,0,29.6499996,0,0,0,47
573,0.573087,0,29.6499996,0,0,0,47
574,0.574085,0.00915518589,29.6499996,0.00915518589,0,0,47
575,0.575086,0,29.6499996,0,0,0,47
576,0.576093,-0.0090830978,29.6499996,-0.0090830978,0,0,47
