Index,Time,(MiniPC_Data).is_shoot,(MiniPC_Data).buff_yaw,(MiniPC_Data).buff_pitch,((Shoot_Control).feed_ang).ref
7518,7.518192,1,-5598,-1595,1100.72925
7519,7.519093,1,-5598,-1595,1100.72925
7520,7.520089,1,-5598,-1595,1100.72925
7521,7.521085,1,-5598,-1595,1100.72925
7522,7.522088,1,-5598,-1595,1100.72925
7523,7.523093,1,-5598,-1595,1100.72925
7524,7.524086,1,-5598,-1595,1100.72925
7525,7.525091,1,-5598,-1595,1100.72925
7526,7.526092,1,-5598,-1595,1100.72925
7527,7.527089,1,-5598,-1595,1100.72925
7528,7.528091,1,-5598,-1595,1100.72925
7529,7.529087,1,-5598,-1595,1100.72925
7530,7.530174,1,-5598,-1595,1100.72925
7531,7.531085,1,-5598,-1595,1100.72925
7532,7.532091,1,-5598,-1595,1100.72925
7533,7.533092,1,-5598,-1595,1100.72925
7534,7.534089,1,-5598,-1595,1100.72925
7535,7.535091,1,-5598,-1595,1100.72925
7536,7.536087,1,-5598,-1595,1100.72925
7537,7.537088,1,-5598,-1595,1100.72925
7538,7.538085,1,-5598,-1595,1100.72925
7539,7.539087,1,-5598,-1595,1100.72925
7540,7.540136,1,-5598,-1595,1100.72925
7541,7.541086,1,-5598,-1595,1100.72925
7542,7.542091,1,-5598,-1595,1100.72925
7543,7.543087,1,-5598,-1595,1100.72925
7544,7.544089,1,-5598,-1595,1100.72925
7545,7.545101,1,-5598,-1595,1100.72925
7546,7.546085,1,-5598,-1595,1100.72925
7547,7.547091,1,-5598,-1595,1100.72925
7548,7.548092,1,-5588,-1599,1100.72925
7549,7.549089,1,-5588,-1599,1100.72925
7550,7.550085,1,-5588,-1599,1100.72925
7551,7.551089,1,-5588,-1599,1100.72925
7552,7.552108,1,-5588,-1599,1100.72925
7553,7.553091,1,-5588,-1599,1100.72925
7554,7.554088,1,-5588,-1599,1100.72925
7555,7.555088,1,-5588,-1599,1100.72925
7556,7.556093,1,-5588,-1599,1100.72925
7557,7.557085,1,-5588,-1599,1100.72925
7558,7.558090,1,-5588,-1599,1100.72925
7559,7.559091,1,-5588,-1599,1100.72925
7560,7.560090,1,-5588,-1599,1100.72925
7561,7.561091,1,-5588,-1599,1100.72925
7562,7.562087,1,-5588,-1599,1100.72925
7563,7.563106,1,-5588,-1599,1100.72925
7564,7.564089,1,-5588,-1599,1100.72925
7565,7.565085,1,-5588,-1599,1100.72925
7566,7.566086,1,-5588,-1599,1100.72925
7567,7.567090,1,-5588,-1599,1100.72925
7568,7.568091,1,-5588,-1599,1100.72925
7569,7.569087,1,-5588,-1599,1100.72925
7570,7.570092,1,-5588,-1599,1100.72925
7571,7.571088,1,-5588,-1599,1100.72925
7572,7.572089,1,-5588,-1599,1100.72925
7573,7.573100,1,-5588,-1599,1100.72925
7574,7.574092,1,-5588,-1599,1100.72925
7575,7.575088,1,-5588,-1599,1100.72925
7576,7.576089,1,-5588,-1599,1100.72925
7577,7.577085,1,-5588,-1599,1100.72925
7578,7.578086,1,-5588,-1599,1100.72925
7579,7.579091,0,-5603,-1593,1100.72925
7580,7.580086,0,-5603,-1593,1100.72925
7581,7.581091,0,-5603,-1593,1100.72925
7582,7.582092,0,-5603,-1593,1100.72925
7583,7.583135,0,-5603,-1593,1100.72925
7584,7.584087,0,-5603,-1593,1100.72925
7585,7.585088,0,-5603,-1593,1100.72925
7586,7.586086,0,-5603,-1593,1100.72925
7587,7.587087,0,-5603,-1593,1100.72925
7588,7.588093,0,-5603,-1593,1100.72925
7589,7.589085,0,-5603,-1593,1100.72925
7590,7.590093,0,-5603,-1593,1100.72925
7591,7.591086,0,-5603,-1593,1100.72925
7592,7.592092,0,-5603,-1593,1100.72925
7593,7.593093,0,-5603,-1593,1100.72925
7594,7.594090,0,-5603,-1593,1100.72925
7595,7.595116,0,-5603,-1593,1100.72925
7596,7.596100,0,-5603,-1593,1100.72925
7597,7.597116,0,-5603,-1593,1100.72925
7598,7.598103,0,-5603,-1593,1100.72925
7599,7.599090,0,-5603,-1593,1100.72925
7600,7.600089,0,-5603,-1593,1100.72925
7601,7.601091,0,-5603,-1593,1100.72925
7602,7.602088,0,-5603,-1593,1100.72925
7603,7.603089,0,-5603,-1593,1100.72925
7604,7.604086,0,-5603,-1593,1100.72925
7605,7.605087,0,-5603,-1593,1100.72925
7606,7.606092,0,-5603,-1593,1100.72925
7607,7.607103,0,-5615,-1591,1100.72925
7608,7.608086,0,-5615,-1591,1100.72925
7609,7.609092,0,-5615,-1591,1100.72925
7610,7.610088,0,-5615,-1591,1100.72925
7611,7.611094,0,-5615,-1591,1100.72925
7612,7.612086,0,-5615,-1591,1100.72925
7613,7.613091,0,-5615,-1591,1100.72925
7614,7.614093,0,-5615,-1591,1100.72925
7615,7.615089,0,-5615,-1591,1100.72925
7616,7.616090,0,-5615,-1591,1100.72925
7617,7.617085,0,-5615,-1591,1100.72925
7618,7.618132,0,-5615,-1591,1100.72925
7619,7.619091,0,-5615,-1591,1100.72925
7620,7.620089,0,-5615,-1591,1100.72925
7621,7.621085,0,-5615,-1591,1100.72925
7622,7.622086,0,-5615,-1591,1100.72925
7623,7.623090,0,-5615,-1591,1100.72925
7624,7.624091,0,-5615,-1591,1100.72925
7625,7.625087,0,-5615,-1591,1100.72925
7626,7.626089,0,-5615,-1591,1100.72925
7627,7.627093,0,-5615,-1591,1100.72925
7628,7.628142,0,-5615,-1591,1100.72925
7629,7.629089,0,-5615,-1591,1100.72925
7630,7.630088,0,-5615,-1591,1100.72925
7631,7.631089,0,-5615,-1591,1100.72925
7632,7.632085,0,-5615,-1591,1100.72925
7633,7.633086,0,-5620,-1592,1100.72925
7634,7.634091,0,-5620,-1592,1100.72925
7635,7.635092,0,-5620,-1592,1100.72925
7636,7.636088,0,-5620,-1592,1100.72925
7637,7.637088,0,-5620,-1592,1100.72925
7638,7.638093,0,-5620,-1592,1100.72925
7639,7.639085,0,-5620,-1592,1100.72925
7640,7.640093,0,-5620,-1592,1100.72925
7641,7.641085,0,-5620,-1592,1100.72925
7642,7.642090,0,-5620,-1592,1100.72925
7643,7.643091,0,-5620,-1592,1100.72925
7644,7.644087,0,-5620,-1592,1100.72925
7645,7.645088,0,-5620,-1592,1100.72925
7646,7.646092,0,-5620,-1592,1100.72925
7647,7.647093,0,-5620,-1592,1100.72925
7648,7.648089,0,-5620,-1592,1100.72925
7649,7.649090,0,-5620,-1592,1100.72925
7650,7.650089,0,-5620,-1592,1100.72925
7651,7.651091,0,-5620,-1592,1100.72925
7652,7.652087,0,-5620,-1592,1100.72925
7653,7.653089,0,-5620,-1592,1100.72925
7654,7.654085,0,-5620,-1592,1100.72925
7655,7.655128,0,-5620,-1592,1100.72925
7656,7.656090,0,-5620,-1592,1100.72925
7657,7.657104,0,-5620,-1592,1100.72925
